	replicates1	replicates2	replicates3
gene1	19	28	27
gene2	29	18	29
gene3	17	17	13
gene4	32	26	21
gene5	12	12	14
gene6	11	18	17
gene7	20	20	17
gene8	16	29	32
gene9	22	23	24
gene10	20	24	22
gene11	8	16	11
gene12	26	19	29
gene13	18	14	12
gene14	15	11	21
gene15	23	28	25
gene16	19	18	28
gene17	32	21	17
gene18	10	25	15
gene19	20	18	14
gene20	9	20	15
gene21	29	22	16
gene22	18	21	23
gene23	15	14	11
gene24	18	26	24
gene25	21	20	24
gene26	26	20	23
gene27	10	8	13
gene28	33	30	35
gene29	35	24	33
gene30	19	19	12
gene31	22	21	36
gene32	22	22	20
gene33	19	10	13
gene34	29	19	26
gene35	22	23	21
gene36	24	25	19
gene37	19	19	23
gene38	20	20	17
gene39	35	25	30
gene40	21	24	28
gene41	12	11	7
gene42	25	21	21
gene43	8	12	18
gene44	20	31	25
gene45	25	22	23
gene46	26	29	25
gene47	20	19	13
gene48	10	15	10
gene49	14	29	19
gene50	24	21	20
gene51	23	27	34
gene52	16	17	8
gene53	19	15	21
gene54	19	15	17
gene55	19	24	33
gene56	11	9	10
gene57	10	12	10
gene58	19	18	11
gene59	2	8	12
gene60	9	8	12
gene61	14	10	8
gene62	24	12	13
gene63	6	5	12
gene64	13	19	8
gene65	11	7	21
gene66	12	26	21
gene67	33	23	21
gene68	25	29	31
gene69	11	8	7
gene70	21	23	24
gene71	14	23	21
gene72	19	24	26
gene73	9	16	18
gene74	35	27	38
gene75	14	20	24
gene76	12	14	9
gene77	14	18	16
gene78	22	15	10
gene79	31	26	31
gene80	12	16	10
gene81	6	12	14
gene82	17	20	20
gene83	27	39	31
gene84	28	23	22
gene85	23	15	28
gene86	21	17	23
gene87	16	10	8
gene88	18	16	15
gene89	13	11	7
gene90	5	8	6
gene91	16	21	24
gene92	25	22	10
gene93	25	23	17
gene94	15	25	20
gene95	21	31	25
gene96	29	30	26
gene97	14	13	19
gene98	27	27	26
gene99	21	16	16
gene100	12	8	17
gene101	26	24	22
gene102	28	23	15
gene103	22	17	10
gene104	21	23	19
gene105	11	20	20
gene106	16	11	20
gene107	14	22	19
gene108	35	22	28
gene109	15	12	13
gene110	17	24	24
gene111	32	42	27
gene112	28	41	27
gene113	9	12	6
gene114	15	13	10
gene115	17	20	19
gene116	26	39	25
gene117	29	13	20
gene118	24	33	22
gene119	10	12	4
gene120	13	17	18
gene121	18	13	20
gene122	13	17	10
gene123	26	20	19
gene124	23	23	19
gene125	15	8	17
gene126	16	14	26
gene127	18	17	15
gene128	19	16	28
gene129	21	17	17
gene130	24	14	16
gene131	33	36	17
gene132	33	30	31
gene133	14	19	16
gene134	19	14	21
gene135	23	24	15
gene136	25	29	23
gene137	14	11	13
gene138	39	39	26
gene139	25	20	12
gene140	8	10	12
gene141	17	14	19
gene142	21	28	34
gene143	12	25	28
gene144	14	26	18
gene145	29	27	21
gene146	22	19	22
gene147	16	23	14
gene148	14	13	12
gene149	30	23	29
gene150	20	25	19
gene151	11	13	21
gene152	15	17	19
gene153	6	11	14
gene154	21	19	24
gene155	26	23	30
gene156	14	19	11
gene157	25	30	30
gene158	22	22	20
gene159	27	27	28
gene160	41	43	35
gene161	13	10	14
gene162	18	20	18
gene163	18	13	18
gene164	17	16	21
gene165	33	18	28
gene166	27	29	24
gene167	25	24	19
gene168	8	9	7
gene169	15	33	27
gene170	29	25	14
gene171	19	15	16
gene172	21	16	19
gene173	32	24	23
gene174	25	22	17
gene175	14	12	6
gene176	10	10	10
gene177	21	40	36
gene178	14	24	19
gene179	10	16	7
gene180	23	19	28
gene181	20	26	25
gene182	21	33	27
gene183	36	29	32
gene184	17	24	25
gene185	10	17	11
gene186	0	4	5
gene187	19	21	13
gene188	49	53	41
gene189	5	4	12
gene190	32	26	35
gene191	19	11	18
gene192	17	16	13
gene193	17	19	13
gene194	19	10	13
gene195	18	20	14
gene196	23	25	14
gene197	22	18	17
gene198	18	15	20
gene199	19	15	14
gene200	41	43	36
gene201	11	12	12
gene202	14	14	17
gene203	15	12	21
gene204	37	30	31
gene205	23	14	13
gene206	14	12	14
gene207	21	20	16
gene208	28	28	25
gene209	13	21	17
gene210	26	23	28
gene211	20	24	18
gene212	22	18	16
gene213	22	21	21
gene214	20	14	15
gene215	17	22	26
gene216	20	21	24
gene217	12	19	15
gene218	6	1	12
gene219	22	16	12
gene220	17	19	26
gene221	9	6	13
gene222	29	18	29
gene223	28	14	18
gene224	33	26	30
gene225	11	8	8
gene226	14	33	27
gene227	19	24	24
gene228	32	23	27
gene229	33	33	45
gene230	16	15	14
gene231	17	15	14
gene232	18	18	12
gene233	15	14	10
gene234	23	20	13
gene235	38	57	44
gene236	18	18	13
gene237	30	32	34
gene238	12	9	5
gene239	8	16	19
gene240	30	29	42
gene241	23	35	36
gene242	14	25	21
gene243	16	15	24
gene244	12	22	18
gene245	31	23	26
gene246	17	22	19
gene247	14	19	19
gene248	15	13	12
gene249	7	14	5
gene250	14	14	16
gene251	22	14	23
gene252	17	17	15
gene253	16	13	21
gene254	11	18	10
gene255	13	16	18
gene256	19	28	25
gene257	25	24	27
gene258	27	25	19
gene259	23	16	34
gene260	17	11	12
gene261	8	16	19
gene262	21	11	18
gene263	16	30	29
gene264	12	7	7
gene265	19	14	13
gene266	18	21	17
gene267	8	11	13
gene268	17	20	18
gene269	25	26	30
gene270	22	18	14
gene271	13	4	16
gene272	15	11	12
gene273	20	8	15
gene274	21	13	23
gene275	9	13	13
gene276	26	18	19
gene277	21	18	18
gene278	18	14	17
gene279	27	13	15
gene280	18	22	13
gene281	19	14	19
gene282	22	14	21
gene283	31	43	40
gene284	8	13	6
gene285	16	21	16
gene286	12	19	14
gene287	32	32	32
gene288	19	12	15
gene289	20	23	24
gene290	13	13	4
gene291	11	15	17
gene292	24	27	26
gene293	12	17	17
gene294	14	20	13
gene295	18	18	13
gene296	14	15	22
gene297	10	16	16
gene298	24	35	24
gene299	13	13	13
gene300	18	28	19
gene301	11	14	15
gene302	37	22	23
gene303	17	14	17
gene304	33	36	35
gene305	29	25	29
gene306	22	25	33
gene307	29	24	25
gene308	4	1	0
gene309	36	36	23
gene310	14	13	8
gene311	17	16	12
gene312	15	22	16
gene313	14	16	15
gene314	19	11	13
gene315	31	29	33
gene316	12	11	12
gene317	29	29	22
gene318	18	28	21
gene319	8	6	17
gene320	6	2	3
gene321	18	26	16
gene322	17	5	17
gene323	27	21	24
gene324	22	21	29
gene325	29	25	21
gene326	33	27	32
gene327	7	6	5
gene328	16	18	15
gene329	13	24	23
gene330	19	28	26
gene331	18	19	19
gene332	21	13	16
gene333	45	32	31
gene334	11	16	14
gene335	28	43	27
gene336	11	11	13
gene337	10	13	15
gene338	33	34	30
gene339	23	25	6
gene340	5	7	5
gene341	26	36	20
gene342	14	13	13
gene343	16	24	17
gene344	31	28	24
gene345	22	27	28
gene346	10	12	13
gene347	14	9	14
gene348	14	11	9
gene349	19	13	19
gene350	11	17	11
gene351	20	27	21
gene352	16	15	11
gene353	13	30	25
gene354	16	20	27
gene355	19	18	24
gene356	10	13	16
gene357	18	13	10
gene358	17	19	25
gene359	21	11	10
gene360	10	11	11
gene361	21	20	16
gene362	29	36	36
gene363	23	22	23
gene364	22	24	19
gene365	29	23	26
gene366	24	34	18
gene367	24	31	24
gene368	23	28	17
gene369	13	9	9
gene370	25	36	29
gene371	16	10	10
gene372	18	24	13
gene373	37	26	31
gene374	6	8	14
gene375	8	14	8
gene376	28	26	31
gene377	15	12	9
gene378	20	11	14
gene379	19	21	20
gene380	21	31	24
gene381	9	16	15
gene382	19	13	12
gene383	15	27	15
gene384	30	25	19
gene385	18	17	20
gene386	11	16	15
gene387	15	12	15
gene388	11	15	11
gene389	24	26	33
gene390	17	19	11
gene391	13	12	21
gene392	25	18	22
gene393	18	24	28
gene394	28	29	22
gene395	17	15	22
gene396	28	14	15
gene397	22	14	17
gene398	33	26	23
gene399	22	22	20
gene400	23	19	25
gene401	19	19	18
gene402	23	22	19
gene403	41	29	37
gene404	14	6	9
gene405	15	14	8
gene406	33	20	23
gene407	11	6	12
gene408	9	11	7
gene409	25	22	20
gene410	18	21	14
gene411	17	16	12
gene412	11	13	10
gene413	14	7	24
gene414	18	17	16
gene415	11	6	7
gene416	29	27	32
gene417	23	25	22
gene418	13	10	12
gene419	14	19	26
gene420	35	28	25
gene421	12	11	14
gene422	14	22	14
gene423	30	16	28
gene424	28	32	19
gene425	15	20	19
gene426	17	18	23
gene427	25	35	16
gene428	15	13	24
gene429	17	16	16
gene430	14	24	6
gene431	11	18	3
gene432	28	21	25
gene433	24	21	20
gene434	31	17	20
gene435	16	21	17
gene436	20	19	24
gene437	28	22	29
gene438	13	20	24
gene439	7	15	12
gene440	29	31	33
gene441	3	10	14
gene442	13	13	16
gene443	20	12	13
gene444	18	12	19
gene445	20	9	19
gene446	18	20	22
gene447	14	15	10
gene448	18	20	10
gene449	15	11	11
gene450	17	15	16
gene451	20	20	22
gene452	4	17	14
gene453	32	15	20
gene454	10	10	11
gene455	22	28	35
gene456	18	20	19
gene457	22	29	25
gene458	9	18	16
gene459	20	23	24
gene460	15	16	28
gene461	11	9	8
gene462	17	13	25
gene463	21	17	20
gene464	21	21	21
gene465	32	28	28
gene466	14	10	16
gene467	20	36	16
gene468	12	14	24
gene469	30	37	33
gene470	27	23	24
gene471	22	15	15
gene472	27	41	29
gene473	16	11	24
gene474	18	15	11
gene475	21	22	33
gene476	16	19	14
gene477	23	33	28
gene478	13	18	14
gene479	11	15	11
gene480	4	11	9
gene481	14	31	27
gene482	12	18	9
gene483	28	25	20
gene484	23	18	14
gene485	27	20	20
gene486	18	17	16
gene487	21	28	24
gene488	27	21	36
gene489	18	22	18
gene490	18	29	35
gene491	15	8	9
gene492	13	12	20
gene493	17	11	16
gene494	6	11	8
gene495	19	17	22
gene496	20	24	15
gene497	17	19	24
gene498	19	29	20
gene499	22	10	15
gene500	12	15	15
gene501	34	40	35
gene502	27	21	21
gene503	26	24	22
gene504	11	11	12
gene505	14	9	15
gene506	40	31	26
gene507	13	10	18
gene508	11	15	20
gene509	36	27	45
gene510	7	8	14
gene511	27	25	25
gene512	15	23	18
gene513	12	11	9
gene514	34	38	26
gene515	13	15	20
gene516	31	25	27
gene517	28	29	22
gene518	24	24	24
gene519	46	26	34
gene520	18	18	24
gene521	16	26	21
gene522	24	12	22
gene523	13	19	18
gene524	10	6	11
gene525	18	14	21
gene526	11	14	3
gene527	34	28	25
gene528	3	11	17
gene529	15	19	28
gene530	16	14	11
gene531	9	19	8
gene532	8	8	6
gene533	21	11	21
gene534	23	35	29
gene535	28	35	20
gene536	26	19	20
gene537	4	6	7
gene538	22	32	23
gene539	18	15	20
gene540	21	18	18
gene541	12	6	11
gene542	14	10	17
gene543	11	14	6
gene544	25	18	15
gene545	17	23	18
gene546	20	27	24
gene547	13	14	11
gene548	16	13	10
gene549	13	16	9
gene550	28	23	34
gene551	27	32	26
gene552	27	25	21
gene553	18	14	19
gene554	22	21	22
gene555	10	9	12
gene556	22	26	25
gene557	21	20	29
gene558	20	19	24
gene559	19	23	12
gene560	34	27	28
gene561	26	12	13
gene562	16	15	17
gene563	27	42	38
gene564	20	20	28
gene565	21	34	23
gene566	32	28	27
gene567	41	23	39
gene568	22	23	35
gene569	48	36	36
gene570	25	18	20
gene571	18	19	13
gene572	12	13	11
gene573	21	18	25
gene574	26	24	24
gene575	31	28	30
gene576	35	39	32
gene577	26	31	35
gene578	14	17	16
gene579	10	13	14
gene580	22	14	20
gene581	14	18	20
gene582	15	15	23
gene583	18	16	27
gene584	16	20	28
gene585	11	25	18
gene586	27	22	19
gene587	14	13	12
gene588	38	38	44
gene589	16	10	9
gene590	21	11	12
gene591	12	15	18
gene592	15	17	22
gene593	40	34	35
gene594	12	14	18
gene595	22	15	13
gene596	18	11	17
gene597	14	22	29
gene598	16	14	14
gene599	16	11	16
gene600	12	12	11
gene601	17	33	26
gene602	33	19	26
gene603	15	6	9
gene604	15	26	21
gene605	15	16	13
gene606	26	29	21
gene607	22	21	18
gene608	11	9	9
gene609	22	32	34
gene610	12	23	20
gene611	26	35	27
gene612	10	8	14
gene613	28	35	28
gene614	16	19	13
gene615	24	19	23
gene616	24	18	16
gene617	20	25	26
gene618	13	15	18
