	replicates1	replicates2	replicates3
gene1	40	43	29
gene2	27	46	39
gene3	33	27	35
gene4	36	29	30
gene5	43	43	30
gene6	46	58	49
gene7	52	35	45
gene8	32	26	37
gene9	39	47	34
gene10	28	43	31
gene11	47	44	55
gene12	34	34	25
gene13	24	33	21
gene14	41	40	40
gene15	54	41	44
gene16	36	31	46
gene17	29	30	38
gene18	37	45	43
gene19	33	42	43
gene20	30	37	36
gene21	41	43	41
gene22	38	34	49
gene23	38	39	39
gene24	39	32	29
gene25	31	33	53
gene26	32	38	32
gene27	50	50	42
gene28	51	49	35
gene29	51	38	64
gene30	48	49	39
gene31	31	45	43
gene32	49	40	30
gene33	52	46	48
gene34	39	46	40
gene35	49	39	41
gene36	45	43	46
gene37	35	48	34
gene38	37	58	32
gene39	41	41	51
gene40	26	31	29
gene41	55	46	45
gene42	42	46	34
gene43	39	43	38
gene44	40	42	40
gene45	43	46	53
gene46	41	34	48
gene47	38	53	49
gene48	37	23	31
gene49	39	46	49
gene50	33	36	33
gene51	53	34	45
gene52	47	33	41
gene53	48	45	47
gene54	37	38	48
gene55	51	34	40
gene56	36	39	38
gene57	36	46	65
gene58	54	43	34
gene59	35	41	42
gene60	57	40	47
gene61	35	46	23
gene62	51	58	46
gene63	39	19	23
gene64	33	38	41
gene65	41	49	59
gene66	39	44	42
gene67	47	39	36
gene68	28	33	32
gene69	37	44	22
gene70	32	33	34
gene71	43	41	43
gene72	49	51	50
gene73	32	32	34
gene74	25	38	34
gene75	26	41	41
gene76	42	39	41
gene77	35	33	31
gene78	45	48	45
gene79	39	32	35
gene80	32	33	41
gene81	32	44	26
gene82	45	38	45
gene83	43	45	49
gene84	53	40	44
gene85	53	48	39
gene86	39	35	45
gene87	56	39	45
gene88	34	49	34
gene89	52	44	53
gene90	32	38	41
gene91	55	49	50
gene92	49	43	41
gene93	55	42	62
gene94	40	50	45
gene95	25	40	35
gene96	52	40	60
gene97	52	33	55
gene98	31	47	28
gene99	48	40	45
gene100	52	53	55
gene101	42	51	57
gene102	33	30	33
gene103	71	51	49
gene104	50	59	35
gene105	41	39	33
gene106	44	48	39
gene107	53	49	51
gene108	51	45	50
gene109	47	57	42
gene110	41	43	50
gene111	40	46	44
gene112	37	34	65
gene113	39	48	44
gene114	45	33	33
gene115	41	40	46
gene116	35	32	38
gene117	43	54	43
gene118	45	54	42
gene119	45	57	56
gene120	42	40	41
gene121	41	43	44
gene122	32	34	25
gene123	29	31	33
gene124	49	39	26
gene125	38	51	53
gene126	49	42	43
gene127	32	23	31
gene128	18	26	48
gene129	37	32	45
gene130	27	48	37
gene131	33	44	30
gene132	39	50	33
gene133	34	33	25
gene134	39	39	37
gene135	59	35	58
gene136	35	40	30
gene137	25	21	36
gene138	38	38	43
gene139	36	36	36
gene140	34	57	35
gene141	42	54	62
gene142	42	38	46
gene143	35	46	17
gene144	59	33	42
gene145	24	28	36
gene146	53	37	41
gene147	36	43	38
gene148	56	37	36
gene149	46	43	39
gene150	35	37	35
gene151	43	49	43
gene152	55	52	59
gene153	34	43	40
gene154	38	34	37
gene155	44	33	38
gene156	35	36	23
gene157	28	38	40
gene158	37	38	46
gene159	40	26	28
gene160	40	44	49
gene161	33	41	39
gene162	34	40	35
gene163	43	54	42
gene164	44	38	33
gene165	29	24	30
gene166	40	27	39
gene167	28	29	40
gene168	36	50	41
gene169	36	32	41
gene170	29	26	20
gene171	48	60	55
gene172	37	38	37
gene173	37	41	40
gene174	32	26	42
gene175	47	41	48
gene176	40	45	35
gene177	52	41	38
gene178	29	22	18
gene179	54	40	43
gene180	49	24	45
gene181	59	50	58
gene182	37	44	35
gene183	43	44	29
gene184	42	60	49
gene185	44	41	38
gene186	36	31	46
gene187	41	48	38
gene188	35	29	36
gene189	34	44	32
gene190	46	45	39
gene191	43	48	42
gene192	37	33	42
gene193	52	44	42
gene194	35	30	42
gene195	43	35	39
gene196	34	26	34
gene197	33	48	38
gene198	60	44	49
gene199	39	64	46
gene200	39	50	42
gene201	46	50	51
gene202	35	44	40
gene203	44	59	56
gene204	43	46	39
gene205	47	42	42
gene206	37	54	45
gene207	30	27	19
gene208	38	40	47
gene209	40	54	44
gene210	35	23	16
gene211	43	47	42
gene212	31	28	41
gene213	22	41	37
gene214	41	64	59
gene215	42	51	46
gene216	30	37	36
gene217	33	42	34
gene218	30	45	52
gene219	58	56	50
gene220	37	31	34
gene221	40	32	27
gene222	50	53	54
gene223	44	40	40
gene224	56	41	52
gene225	27	33	35
gene226	48	57	52
gene227	44	34	33
gene228	46	39	33
gene229	49	48	36
gene230	40	34	29
gene231	35	35	44
gene232	43	26	42
gene233	51	54	53
gene234	33	36	26
gene235	40	48	33
gene236	51	56	60
gene237	64	44	42
gene238	36	43	38
gene239	40	39	38
gene240	55	38	36
gene241	44	35	39
